book_id,checkout,return,member
51,25/10/1990,02/04/1995,coai
52,25/10/1990,01/03/2001,suii
53,25/10/1990,28/12/1995,book
54,25/10/1990,01/03/2001,coai
55,25/10/1990,02/04/1995,arad
56,25/10/1990,30/07/1998,suii
57,25/10/1990,28/12/1995,book
58,25/10/1990,09/01/1997,book
59,25/10/1990,02/04/1995,util
60,25/10/1990,30/07/1998,arad
71,01/04/1995,25/11/2001,coai
72,01/04/1995,27/07/2000,suii
73,01/04/1995,07/09/1999,coaa
74,01/04/1995,18/01/1999,util
75,01/04/1995,13/02/2004,coai
76,01/04/1995,27/07/2000,coaa
77,01/04/1995,13/02/2004,book
78,01/04/1995,18/01/1999,book
79,01/04/1995,13/02/2004,util
80,01/04/1995,27/07/2000,coaa
51,02/04/1995,08/09/1999,arad
55,02/04/1995,08/09/1999,util
59,02/04/1995,08/09/1999,arad
41,06/07/1995,11/04/1999,suii
42,06/07/1995,05/02/2002,util
43,06/07/1995,12/10/2000,util
44,06/07/1995,11/04/1999,arad
45,06/07/1995,17/04/2004,suii
46,06/07/1995,11/04/1999,arad
47,06/07/1995,17/04/2004,coai
48,06/07/1995,12/10/2000,util
49,06/07/1995,26/11/1999,suii
50,06/07/1995,17/04/2004,arad
53,28/12/1995,01/03/2001,book
57,28/12/1995,01/03/2001,coai
58,09/01/1997,27/03/2003,book
56,30/07/1998,04/05/2006,coaa
60,30/07/1998,04/05/2006,coai
74,18/01/1999,06/11/2002,arad
78,18/01/1999,06/11/2002,suii
41,11/04/1999,15/01/2003,arad
44,11/04/1999,15/01/2003,arad
46,11/04/1999,15/01/2003,util
73,07/09/1999,13/02/2004,arad
51,08/09/1999,14/02/2004,book
55,08/09/1999,14/02/2004,suii
59,08/09/1999,14/02/2004,arad
49,26/11/1999,17/04/2004,coaa
72,27/07/2000,22/11/2005,arad
76,27/07/2000,22/11/2005,util
80,27/07/2000,22/11/2005,coai
43,12/10/2000,19/01/2006,arad
48,12/10/2000,19/01/2006,util
52,01/03/2001,07/07/2011,coaa
53,01/03/2001,04/05/2006,suii
54,01/03/2001,07/07/2011,util
57,01/03/2001,04/05/2006,arad
71,25/11/2001,21/07/2008,book
42,05/02/2002,07/09/2008,util
74,06/11/2002,25/08/2006,coai
78,06/11/2002,25/08/2006,book
41,15/01/2003,21/10/2006,coaa
44,15/01/2003,21/10/2006,coaa
46,15/01/2003,21/10/2006,suii
58,27/03/2003,11/06/2009,arad
11,01/07/2003,02/02/2008,coai
12,01/07/2003,13/02/2006,arad
13,01/07/2003,02/02/2008,coaa
14,01/07/2003,03/03/2007,util
15,01/07/2003,02/02/2008,util
16,01/07/2003,03/03/2007,suii
17,01/07/2003,02/02/2008,arad
18,01/07/2003,13/02/2006,book
19,01/07/2003,02/02/2008,coaa
20,01/07/2003,14/08/2009,book
61,07/09/2003,27/04/2007,suii
62,07/09/2003,12/04/2006,util
63,07/09/2003,17/09/2006,coai
64,07/09/2003,28/09/2009,coai
65,07/09/2003,27/04/2007,util
66,07/09/2003,24/03/2008,book
67,07/09/2003,28/09/2009,coai
68,07/09/2003,17/09/2006,coai
69,07/09/2003,12/04/2006,util
70,07/09/2003,17/09/2006,coaa
73,13/02/2004,21/07/2008,suii
75,13/02/2004,27/12/2012,suii
77,13/02/2004,27/12/2012,coai
79,13/02/2004,27/12/2012,suii
51,14/02/2004,22/07/2008,coai
55,14/02/2004,22/07/2008,book
59,14/02/2004,22/07/2008,arad
45,17/04/2004,28/01/2013,book
47,17/04/2004,28/01/2013,suii
49,17/04/2004,07/09/2008,book
50,17/04/2004,28/01/2013,util
72,22/11/2005,20/03/2011,coai
76,22/11/2005,20/03/2011,coai
80,22/11/2005,20/03/2011,coaa
43,19/01/2006,28/04/2011,suii
48,19/01/2006,28/04/2011,util
12,13/02/2006,28/09/2008,coaa
18,13/02/2006,28/09/2008,arad
62,12/04/2006,15/11/2008,coai
69,12/04/2006,15/11/2008,arad
53,04/05/2006,07/07/2011,suii
56,04/05/2006,06/02/2014,book
57,04/05/2006,07/07/2011,arad
60,04/05/2006,06/02/2014,coai
74,25/08/2006,13/06/2010,book
78,25/08/2006,13/06/2010,coaa
81,04/09/2006,27/09/2011,book
82,04/09/2006,17/09/2009,util
83,04/09/2006,04/11/2008,suii
84,04/09/2006,22/06/2010,suii
85,04/09/2006,17/09/2009,util
86,04/09/2006,27/09/2011,coaa
87,04/09/2006,22/06/2010,arad
88,04/09/2006,04/11/2008,book
89,04/09/2006,17/09/2009,coaa
90,04/09/2006,22/06/2010,util
63,17/09/2006,27/09/2009,arad
68,17/09/2006,27/09/2009,book
70,17/09/2006,27/09/2009,book
41,21/10/2006,27/07/2010,coai
44,21/10/2006,27/07/2010,suii
46,21/10/2006,27/07/2010,util
14,03/03/2007,03/11/2010,suii
